                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62727,                 0.5126,                   1.13,                0.98712,                   0.98,                0.99387,                0.92799,                0.33122,                0.59301,                0.88342,              0.0014586,              0.0014586,              0.0014586
                     37,                0.65409,                0.48679,                 1.1583,                0.99779,                      1,                  0.995,                0.93373,                0.33521,                 0.4591,                0.89218,              0.0014431,              0.0014431,              0.0014431
                     38,                0.58118,                0.44507,                 1.1221,                0.99799,                      1,                  0.995,                0.94672,                0.32895,                0.36042,                0.89967,              0.0014277,              0.0014277,              0.0014277
                     39,                0.63763,                0.53188,                 1.1631,                0.99875,                      1,                  0.995,                0.97289,                0.27494,                0.29242,                0.85926,              0.0014122,              0.0014122,              0.0014122
                     40,                0.64505,                0.49667,                 1.1557,                0.99735,                      1,                  0.995,                0.90452,                0.38479,                0.36353,                0.92505,              0.0013967,              0.0013967,              0.0013967
                     41,                0.71767,                0.54488,                 1.2162,                0.99754,                      1,                  0.995,                  0.936,                0.34434,                0.34158,                0.92546,              0.0013813,              0.0013813,              0.0013813
                     42,                0.62055,                0.46858,                 1.1367,                      1,                0.99531,                  0.995,                0.91672,                0.41121,                0.33289,                0.97069,              0.0013658,              0.0013658,              0.0013658
                     43,                0.61636,                0.48669,                 1.1431,                0.99422,                      1,                  0.995,                0.93872,                0.40079,                0.35828,                 1.0102,              0.0013503,              0.0013503,              0.0013503
                     44,                0.69225,                0.54731,                 1.1852,                0.99878,                      1,                  0.995,                0.96319,                0.27082,                0.29168,                 0.8543,              0.0013348,              0.0013348,              0.0013348
                     45,                0.64633,                0.48269,                 1.1671,                 0.9987,                      1,                  0.995,                0.94106,                 0.3353,                0.31444,                0.89543,              0.0013194,              0.0013194,              0.0013194
                     46,                0.63329,                0.50864,                 1.1384,                      1,                0.99811,                  0.995,                0.95928,                0.32677,                 0.3337,                0.89546,              0.0013039,              0.0013039,              0.0013039
                     47,                0.61174,                0.48774,                 1.1292,                0.98037,                0.99876,                0.99461,                0.95991,                0.28684,                0.32268,                0.85754,              0.0012884,              0.0012884,              0.0012884
                     48,                0.64713,                0.46996,                 1.1502,                0.99535,                      1,                  0.995,                0.93266,                0.34546,                0.29276,                0.93385,               0.001273,               0.001273,               0.001273
                     49,                0.55101,                0.45331,                   1.07,                0.99486,                      1,                  0.995,                0.97222,                0.30964,                0.31551,                0.89657,              0.0012575,              0.0012575,              0.0012575
                     50,                0.64432,                0.47161,                 1.1473,                0.99773,                      1,                  0.995,                0.95783,                0.30923,                 0.3141,                0.88685,               0.001242,               0.001242,               0.001242
                     51,                0.64504,                0.47057,                 1.1577,                0.99607,                      1,                  0.995,                0.95798,                0.30559,                0.32241,                0.89965,              0.0012266,              0.0012266,              0.0012266
                     52,                0.60704,                0.45171,                 1.1212,                 0.9043,                0.94506,                0.98063,                0.88369,                0.40312,                0.46332,                0.96332,              0.0012111,              0.0012111,              0.0012111
                     53,                0.59802,                0.46956,                  1.131,                0.97367,                      1,                0.99461,                0.97052,                0.27545,                0.30624,                0.85906,              0.0011956,              0.0011956,              0.0011956
                     54,                0.58721,                0.43986,                  1.087,                      1,                0.99872,                  0.995,                0.98949,                0.22515,                0.27459,                0.81792,              0.0011802,              0.0011802,              0.0011802
                     55,                 0.5386,                 0.4356,                 1.0871,                      1,                0.99764,                  0.995,                0.97947,                 0.2422,                0.30701,                 0.8292,              0.0011647,              0.0011647,              0.0011647
                     56,                0.53089,                0.41985,                 1.0839,                0.99907,                      1,                  0.995,                0.99203,                0.21849,                0.25623,                0.81209,              0.0011492,              0.0011492,              0.0011492
                     57,                0.52404,                0.40078,                 1.0568,                0.99888,                      1,                  0.995,                0.97832,                0.23573,                 0.2435,                0.83798,              0.0011337,              0.0011337,              0.0011337
                     58,                0.53043,                0.41055,                 1.0795,                 0.9989,                      1,                  0.995,                0.96965,                0.25553,                0.25441,                0.82965,              0.0011183,              0.0011183,              0.0011183
                     59,                0.60428,                0.44236,                 1.1183,                 0.9925,                      1,                  0.995,                0.94417,                0.34023,                 0.3139,                0.89467,              0.0011028,              0.0011028,              0.0011028
                     60,                0.62514,                0.47005,                  1.122,                0.99873,                      1,                  0.995,                0.97795,                0.25455,                0.24728,                 0.8286,              0.0010873,              0.0010873,              0.0010873
                     61,                0.55144,                0.41112,                 1.0952,                 0.9981,                      1,                  0.995,                0.99017,                0.23651,                 0.2507,                0.82049,              0.0010719,              0.0010719,              0.0010719
                     62,                0.52473,                    0.4,                 1.0925,                      1,                0.99784,                  0.995,                 0.9877,                0.23144,                0.23633,                0.81839,              0.0010564,              0.0010564,              0.0010564
                     63,                0.51912,                0.39662,                  1.087,                0.99883,                      1,                  0.995,                0.96541,                0.30394,                0.24999,                0.85179,              0.0010409,              0.0010409,              0.0010409
                     64,                0.53933,                0.40295,                 1.0971,                0.99847,                      1,                  0.995,                0.97203,                0.28417,                  0.245,                0.84365,              0.0010255,              0.0010255,              0.0010255
                     65,                0.59355,                0.41498,                 1.0984,                      1,                0.99639,                  0.995,                0.98494,                0.25466,                0.25815,                0.82717,                0.00101,                0.00101,                0.00101
